,cluster_selection_method,hdbscan_metric,min_cluster_size,n_components,n_neighbors,topic_merge_delta,umap_metric,loss
319,eom,euclidean,25,5,5,0.1,cosine,283.0
157,eom,euclidean,25,7,5,0.1,cosine,284.0
24,eom,euclidean,10,7,55,0.15,cosine,286.0
497,eom,euclidean,25,9,5,0.1,euclidean,286.0
27,leaf,euclidean,15,23,20,0.15,euclidean,291.0
322,eom,euclidean,15,5,20,0.1,cosine,292.0
392,eom,euclidean,15,9,15,0.1,cosine,293.0
400,eom,euclidean,10,3,45,0.1,euclidean,294.0
136,eom,euclidean,25,5,5,0.1,cosine,295.0
478,eom,euclidean,15,5,15,0.1,euclidean,301.0
201,leaf,euclidean,15,9,45,0.1,cosine,303.0
68,leaf,euclidean,20,17,20,0.05,euclidean,305.0
454,eom,euclidean,25,20,5,0.05,euclidean,307.0
434,leaf,euclidean,15,9,45,0.1,euclidean,309.0
110,eom,euclidean,15,13,15,0.1,cosine,310.0
5,leaf,euclidean,15,7,15,0.15,euclidean,313.0
181,eom,euclidean,10,7,45,0.1,euclidean,313.0
220,leaf,euclidean,15,13,45,0.1,cosine,314.0
309,eom,euclidean,10,20,45,0.1,cosine,315.0
390,eom,euclidean,10,9,45,0.1,cosine,317.0
238,leaf,euclidean,15,20,40,0.1,euclidean,318.0
250,leaf,euclidean,20,13,15,0.1,euclidean,320.0
499,eom,euclidean,10,13,45,0.1,cosine,321.0
521,eom,euclidean,10,17,40,0.1,euclidean,331.0
246,eom,euclidean,10,13,45,0.1,euclidean,331.0
280,eom,euclidean,10,7,45,0.1,cosine,331.0
476,eom,euclidean,10,9,45,0.1,euclidean,333.0
122,eom,euclidean,10,9,40,0.1,cosine,336.0
487,eom,euclidean,10,9,45,0.1,cosine,336.0
453,eom,euclidean,10,23,45,0.1,cosine,338.0
301,eom,euclidean,15,23,10,0.1,euclidean,343.0
190,eom,euclidean,10,5,40,0.05,cosine,344.0
255,eom,euclidean,10,13,45,0.05,euclidean,345.0
432,eom,euclidean,10,20,45,0.1,cosine,347.0
342,eom,euclidean,15,5,10,0.1,euclidean,349.0
16,eom,euclidean,15,17,5,0.15,euclidean,355.0
482,leaf,euclidean,25,23,5,0.1,cosine,356.0
168,eom,euclidean,20,9,5,0.1,cosine,356.0
384,leaf,euclidean,25,5,5,0.1,euclidean,360.0
355,leaf,euclidean,20,23,10,0.1,cosine,360.0
217,eom,euclidean,10,7,45,0.1,euclidean,362.0
382,eom,euclidean,15,9,10,0.1,cosine,364.0
424,eom,euclidean,15,9,10,0.1,cosine,373.0
523,eom,euclidean,15,23,10,0.1,cosine,376.0
117,eom,euclidean,20,9,5,0.1,cosine,382.0
21,eom,euclidean,10,17,45,0.1,cosine,383.0
304,eom,euclidean,20,5,5,0.1,euclidean,385.0
